,perf_1,perf_2,perf_3,perf_4,perf_5,perf_6,perf_7
0,0.4,0.7760416666666666,0.0,0.5333333333333333,0.7949389179755671,0.6,0.07462686567164178
1,0.575,0.6979166666666666,0.2222222222222222,0.4666666666666667,0.7521815008726004,0.2,0.23880597014925373
2,0.4,0.6822916666666666,0.14814814814814814,0.4857142857142857,0.7975567190226877,0.2,0.24378109452736318
3,0.325,0.6927083333333334,0.037037037037037035,0.49523809523809526,0.8237347294938918,0.2,0.24875621890547264
4,0.25,0.7395833333333334,0.0,0.6285714285714286,0.8019197207678883,0.0,0.24875621890547264
5,0.3,0.6822916666666666,0.0,0.580952380952381,0.774869109947644,0.0,0.2835820895522388
6,0.225,0.6770833333333334,0.0,0.6095238095238096,0.7469458987783595,0.0,0.26865671641791045
7,0.225,0.6614583333333334,0.0,0.5904761904761905,0.7417102966841187,0.0,0.27860696517412936
8,0.275,0.6302083333333334,0.0,0.6,0.7268760907504364,0.0,0.2736318407960199
9,0.25,0.671875,0.0,0.6095238095238096,0.7408376963350786,0.0,0.23880597014925373
10,0.25,0.6979166666666666,0.0,0.638095238095238,0.7635253054101222,0.0,0.19900497512437812
11,0.175,0.6770833333333334,0.0,0.6285714285714286,0.7478184991273996,0.0,0.18407960199004975
12,0.175,0.6927083333333334,0.0,0.638095238095238,0.7547993019197208,0.0,0.1691542288557214
13,0.2,0.6979166666666666,0.0,0.6666666666666666,0.7635253054101222,0.0,0.15422885572139303
14,0.25,0.6927083333333334,0.0,0.6761904761904762,0.7643979057591623,0.0,0.13930348258706468
15,0.175,0.6927083333333334,0.0,0.6952380952380952,0.7661431064572426,0.0,0.1044776119402985
16,0.15,0.6979166666666666,0.0,0.7142857142857143,0.7713787085514834,0.0,0.11442786069651742
17,0.15,0.6979166666666666,0.0,0.7142857142857143,0.774869109947644,0.0,0.1044776119402985
18,0.15,0.6927083333333334,0.0,0.7333333333333333,0.7766143106457243,0.0,0.0845771144278607
19,0.2,0.6927083333333334,0.0,0.7238095238095238,0.7678883071553229,0.0,0.0945273631840796
20,0.2,0.6822916666666666,0.0,0.6476190476190476,0.7635253054101222,0.0,0.08955223880597014
21,0.2,0.6770833333333334,0.0,0.5904761904761905,0.7591623036649214,0.0,0.08955223880597014
22,0.2,0.6770833333333334,0.0,0.6285714285714286,0.7670157068062827,0.0,0.08955223880597014
23,0.2,0.6510416666666666,0.0,0.6190476190476191,0.7670157068062827,0.0,0.0945273631840796
24,0.15,0.65625,0.0,0.6666666666666666,0.756544502617801,0.0,0.1044776119402985
25,0.125,0.6458333333333334,0.0,0.7142857142857143,0.7486910994764397,0.0,0.10945273631840796
26,0.1,0.6458333333333334,0.0,0.6857142857142857,0.7530541012216405,0.0,0.10945273631840796
