,Modèle,perf1,perf2,perf3,perf4,perf5,perf6,perf7,perf. moyenne
0,CMCC-CMS,0.2446351931330472,0.8015536723163842,0.8577981651376146,0.8855792933442892,0.6386292834890965,0.6361607142857143,0.010231556273559504,0.5820839825685294
1,HadGEM2-AO,0.41630901287553645,0.7909604519774012,0.8715596330275229,0.8621610517666393,0.6884735202492211,0.29464285714285715,0.0010770059235325794,0.5607405047089588
2,MPI-ESM-MR,0.5450643776824035,0.6214689265536724,0.7981651376146789,0.8216926869350862,0.5794392523364486,0.4174107142857143,0.007000538502961767,0.5414630905587093
3,MPI-ESM-P,0.6695278969957081,0.6532485875706214,0.6743119266055045,0.8350451930977815,0.573208722741433,0.3080357142857143,0.004308023694130318,0.5310980092844133
4,CNRM-CM5-2,0.15021459227467812,0.5557909604519774,0.8784403669724771,0.9377567789646672,0.5872274143302181,0.578125,0.01615508885298869,0.5291014574067152
5,MPI-ESM-LR,0.630901287553648,0.6377118644067796,0.7064220183486238,0.8200493015612161,0.573208722741433,0.30580357142857145,0.004846526655896607,0.5255633275280241
6,GFDL-CM3,0.21888412017167383,0.5932203389830508,0.8532110091743119,0.8654478225143796,0.6370716510903427,0.453125,0.02046311254711901,0.5202032934972683
7,CNRM-CM5,0.030042918454935622,0.6009887005649718,0.8509174311926605,0.9599424815119145,0.6370716510903427,0.48214285714285715,0.008616047388260635,0.5099602981922776
8,CanESM2,0.12875536480686695,0.8234463276836158,0.5481651376146789,0.892974527526705,0.6791277258566978,0.46205357142857145,0.003769520732364028,0.5054703108070714
9,GISS-E2-H-CC,0.0,0.911723163841808,0.7270642201834863,0.9196795398520953,0.5841121495327103,0.29464285714285715,0.0,0.49103170436470817
10,bcc-csm1-1,0.17167381974248927,0.655367231638418,0.8119266055045872,0.885784716516023,0.5903426791277259,0.31919642857142855,0.0016155088852988692,0.4908438557122815
11,IPSL-CM5A-MR,0.2017167381974249,0.6271186440677966,0.6513761467889908,0.9005751848808545,0.4423676012461059,0.5669642857142857,0.0010770059235325794,0.48445651525985584
12,IPSL-CM5A-LR,0.18454935622317598,0.6807909604519774,0.5848623853211009,0.9083812654067379,0.46261682242990654,0.5424107142857143,0.0016155088852988692,0.480746716143416
13,MRI-ESM1,0.0,0.8283898305084746,0.8211009174311926,0.9096138044371405,0.6806853582554517,0.109375,0.007000538502961767,0.47945220701931734
14,GISS-E2-H,0.0,0.9230225988700564,0.6192660550458715,0.9283073130649138,0.5669781931464174,0.296875,0.0,0.47634988001817985
15,MRI-CGCM3,0.0,0.8305084745762712,0.8142201834862385,0.9067378800328677,0.6588785046728972,0.10044642857142858,0.005385029617662897,0.4737395001367665
16,GISS-E2-R-CC,0.012875536480686695,0.8728813559322034,0.6651376146788991,0.8662695152013147,0.40031152647975077,0.34375,0.009154550350026925,0.45291144273184025
17,CMCC-CESM,0.3133047210300429,0.6836158192090396,0.27522935779816515,0.8792111750205424,0.5093457943925234,0.5022321428571429,0.0059235325794291865,0.45269464898384076
18,GFDL-ESM2G,0.36909871244635195,0.4745762711864407,0.5412844036697247,0.8379211175020542,0.48130841121495327,0.3236607142857143,0.008616047388260635,0.4337808110990714
19,GFDL-ESM2M,0.16738197424892703,0.4569209039548023,0.6192660550458715,0.8331963845521775,0.5218068535825545,0.39955357142857145,0.015078082929456112,0.4304576893917659
20,bcc-csm1-1-m,0.02575107296137339,0.6765536723163842,0.6353211009174312,0.8927691043549713,0.5327102803738317,0.23214285714285715,0.0010770059235325794,0.4280464419986259
21,GFDL-CM2p1,0.10300429184549356,0.4477401129943503,0.6628440366972477,0.8034100246507806,0.4766355140186916,0.28348214285714285,0.006462035541195477,0.39765402265784305
22,IPSL-CM5B-LR,0.0,0.6807909604519774,0.44036697247706424,0.9422760887428102,0.557632398753894,0.12946428571428573,0.0005385029617662897,0.3930098870145425
23,ACCESS1-3,0.3562231759656652,0.8057909604519774,0.35091743119266056,0.835456039441249,0.14485981308411214,0.234375,0.004308023694130318,0.3902757776899707
24,ACCESS1-0,0.3562231759656652,0.8396892655367232,0.2889908256880734,0.8648315529991784,0.21806853582554517,0.14955357142857142,0.0032310177705977385,0.3886554207449078
25,NorESM1-M,0.21030042918454936,0.7853107344632768,0.24311926605504589,0.7263763352506163,0.13707165109034267,0.3950892857142857,0.003769520732364028,0.35729103178435434
26,NorESM1-ME,0.22746781115879827,0.7937853107344632,0.19036697247706422,0.7288414133114215,0.1043613707165109,0.37723214285714285,0.0032310177705977385,0.3464694341465712
